module,parameter_name,expanded_key,type,baseline_value,lower_bound,upper_bound,distribution,source,source_quote_or_reference,scale,codebase_fidelity_note,rationale,sensitivity_method,included_in_sobol,included_in_oat,included_in_scenario_matrix,notes
M1,audience_reserve_initial,N/A,float,5000000.0,2500000.0,7500000.0,uniform,ZEE PDF Chapter 6 Page 114,Audience Reserve allocation set at 5.0M Z1U.,nominal,Acts as the initial balance and base for ratio metrics in GlobalState.,Ecosystem dynamics,OAT,False,True,True,
M1,treasury_initial,N/A,float,2500000.0,1250000.0,3750000.0,uniform,ZEE PDF Chapter 6 Page 115,Treasury allocation set at 2.5M Z1U.,nominal,Sets the starting balance for the operational/buyback treasury.,Ecosystem dynamics,OAT,False,True,True,
M2,n_epochs,N/A,int,260,130.0,390.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,random_seed,N/A,int,42,21.0,63.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,repetitions,N/A,int,1,0.5,1.5,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,initial_viewers,N/A,int,1000000,500000.0,1500000.0,uniform,ZEE PDF Chapter 6 Page 112,Initial participating viewer pool starts at 1.0M users.,nominal,Used directly to scale cohort populations: population = initial_viewers * share.,Ecosystem dynamics,OAT,False,True,True,
M2,adoption_profile,N/A,"typing.Literal['front_loaded', 'linear', 'back_loaded']",linear,N/A,N/A,categorical,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M2,cohort_population_shares,passive_viewers,"typing.Dict[str, float]",0.55,0.275,0.8250000000000001,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M2,cohort_population_shares,active_viewers,"typing.Dict[str, float]",0.3,0.15,0.44999999999999996,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M2,cohort_population_shares,power_users,"typing.Dict[str, float]",0.1,0.05,0.15000000000000002,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M2,cohort_population_shares,adversarial_whales,"typing.Dict[str, float]",0.05,0.025,0.07500000000000001,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M2,claim_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",0.1,0.05,0.15000000000000002,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: passive_viewers
M2,claim_rate_by_cohort,active_viewers,"typing.Dict[str, float]",0.4,0.2,0.6000000000000001,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: active_viewers
M2,claim_rate_by_cohort,power_users,"typing.Dict[str, float]",0.8,0.4,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: power_users
M2,claim_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",1.0,0.5,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: adversarial_whales
M2,verification_pass_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",0.5,0.25,0.75,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M2,verification_pass_rate_by_cohort,active_viewers,"typing.Dict[str, float]",0.7,0.35,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M2,verification_pass_rate_by_cohort,power_users,"typing.Dict[str, float]",0.9,0.45,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M2,verification_pass_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",1.0,0.5,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M2,acr_issue_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",10.0,5.0,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M2,acr_issue_rate_by_cohort,active_viewers,"typing.Dict[str, float]",50.0,25.0,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M2,acr_issue_rate_by_cohort,power_users,"typing.Dict[str, float]",200.0,100.0,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M2,acr_issue_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",100.0,50.0,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M2,ongoing_acr_issue_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",1.0,0.5,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M2,ongoing_acr_issue_rate_by_cohort,active_viewers,"typing.Dict[str, float]",5.0,2.5,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M2,ongoing_acr_issue_rate_by_cohort,power_users,"typing.Dict[str, float]",20.0,10.0,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M2,ongoing_acr_issue_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",10.0,5.0,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M2,vesting_lag_epochs,N/A,int,4,2.0,6.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,vesting_sub_cohort_phases,N/A,int,4,2.0,6.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,acr_epoch_budget,N/A,float,150000.0,75000.0,225000.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,pcs_tenure_weight,N/A,float,0.5,0.25,0.75,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,pcs_activity_weight,N/A,float,0.5,0.25,0.75,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,bas_lambda,N/A,float,0.3,0.15,0.44999999999999996,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,velocity_scale,N/A,float,0.1,0.05,0.15000000000000002,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,tier_sr_modifiers,Bronze,"typing.Dict[str, float]",1.0,0.5,1.5,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Bronze
M2,tier_sr_modifiers,Silver,"typing.Dict[str, float]",1.05,0.525,1.5750000000000002,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Silver
M2,tier_sr_modifiers,Gold,"typing.Dict[str, float]",1.1,0.55,1.6500000000000001,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Gold
M2,tier_sr_modifiers,Platinum,"typing.Dict[str, float]",1.15,0.575,1.7249999999999999,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Platinum
M2,tier_thresholds_pcs,Bronze,"typing.Dict[str, float]",0.0,0.0,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Bronze
M2,tier_thresholds_pcs,Silver,"typing.Dict[str, float]",100.0,50.0,150.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Silver
M2,tier_thresholds_pcs,Gold,"typing.Dict[str, float]",500.0,250.0,750.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Gold
M2,tier_thresholds_pcs,Platinum,"typing.Dict[str, float]",1500.0,750.0,2250.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Platinum
M2,settle_propensity_by_cohort,passive_viewers,"typing.Dict[str, float]",0.0051,0.00255,0.0076500000000000005,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: passive_viewers
M2,settle_propensity_by_cohort,active_viewers,"typing.Dict[str, float]",0.0102,0.0051,0.015300000000000001,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: active_viewers
M2,settle_propensity_by_cohort,power_users,"typing.Dict[str, float]",0.0203,0.01015,0.030449999999999998,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: power_users
M2,settle_propensity_by_cohort,adversarial_whales,"typing.Dict[str, float]",0.5,0.25,0.75,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: adversarial_whales
M2,settlement_ratio,N/A,float,0.1047,0.05235,0.15705,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,
M2,settlement_cap_per_epoch,N/A,float,50000.0,25000.0,75000.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,utility_spend_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",0.0456,0.0228,0.0684,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: passive_viewers
M2,utility_spend_rate_by_cohort,active_viewers,"typing.Dict[str, float]",0.1823,0.09115,0.27344999999999997,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: active_viewers
M2,utility_spend_rate_by_cohort,power_users,"typing.Dict[str, float]",0.4557,0.22785,0.68355,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: power_users
M2,utility_spend_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",0.0,0.0,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: adversarial_whales
M2,utility_fee_share,N/A,float,0.34,0.17,0.51,uniform,ZEE PDF Chapter 6 Page 121,Protocol utility fee share set at 15%.,dimensionless,Percentage of user utility spend routed back to the treasury.,Ecosystem dynamics,OAT,False,True,True,
M2,utility_burn_share,N/A,float,0.05,0.025,0.07500000000000001,uniform,ZEE PDF Chapter 6 Page 121,Protocol utility burn share set at 5%.,dimensionless,Percentage of user utility spend permanently burned from supply.,Ecosystem dynamics,OAT,False,True,True,
M2,burn_enabled,N/A,bool,True,False,True,categorical,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M2,brand_inflow_per_epoch,N/A,float,112000.0,56000.0,168000.0,uniform,ZEE PDF Chapter 7 Page 134,Optimal brand campaign inflow target of 112k Z1U per epoch.,simulation,"Calibrated simulation-scale inflow, mapped from the nominal inflow.",Ecosystem dynamics,Sobol,True,True,True,
M2,treasury_topup_threshold_ratio,N/A,float,0.3,0.15,0.44999999999999996,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,treasury_topup_target_ratio,N/A,float,0.4,0.2,0.6000000000000001,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,treasury_topup_cap_ratio_per_epoch,N/A,float,0.1,0.05,0.15000000000000002,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,throttle_threshold_ratio,N/A,float,0.3,0.15,0.44999999999999996,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,throttle_multiplier_when_stressed,N/A,float,0.5,0.25,0.75,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,vesting_extension_factor,N/A,float,2.0,1.0,3.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,amm_initial_z1u,N/A,float,10000000.0,5000000.0,15000000.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,amm_initial_usd,N/A,float,1000000.0,500000.0,1500000.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,amm_fee_rate,N/A,float,0.003,0.0015,0.0045000000000000005,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,campaign_fee_percentage,N/A,float,0.25,0.125,0.375,uniform,ZEE PDF Chapter 6 Page 125,Brand campaign deposit escrow fee set at 5%.,dimensionless,Upfront fee deducted from campaign deposits and routed to treasury.,Ecosystem dynamics,OAT,False,True,True,
M2,campaign_burn_share,N/A,float,0.1,0.05,0.15000000000000002,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,campaign_deposit_per_epoch,N/A,float,112000.0,56000.0,168000.0,uniform,ZEE PDF Chapter 7 Page 134,Optimal brand campaign inflow target of 112k Z1U per epoch.,simulation,Campaign escrow deposit amount matching optimal brand campaign inflow.,Ecosystem dynamics,OAT,False,True,True,
M2,treasury_buyback_ratio,N/A,float,0.0,0.0,1.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,use_dynamic_settlement_ratio,N/A,bool,True,False,True,categorical,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M2,cip_replenishment_per_epoch,N/A,float,10000.0,5000.0,15000.0,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,operational_cost_per_epoch,N/A,float,5000.0,2500.0,1.0,uniform,M2 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,rwa_yield_per_epoch,N/A,float,1000.0,500.0,1500.0,uniform,ZEE PDF Chapter 7 Page 145,Realized RWA yield of 1k USD/epoch from reserves.,simulation,Yield in tokens added directly to the treasury each epoch.,Ecosystem dynamics,OAT,False,True,True,
M2,panic_price_drop_threshold,N/A,float,0.1,0.05,0.15000000000000002,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,panic_settlement_multiplier,N/A,float,5.0,2.5,7.5,uniform,M2 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M2,audience_reserve_initial,N/A,float,5000000.0,2500000.0,7500000.0,uniform,ZEE PDF Chapter 6 Page 114,Audience Reserve allocation set at 5.0M Z1U.,nominal,Acts as the initial balance and base for ratio metrics in GlobalState.,Ecosystem dynamics,OAT,False,True,True,
M2,treasury_initial,N/A,float,2500000.0,1250000.0,3750000.0,uniform,ZEE PDF Chapter 6 Page 115,Treasury allocation set at 2.5M Z1U.,nominal,Sets the starting balance for the operational/buyback treasury.,Ecosystem dynamics,OAT,False,True,True,
M3,n_epochs,N/A,int,260,130.0,390.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,random_seed,N/A,int,42,21.0,63.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,repetitions,N/A,int,1,0.5,1.5,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,initial_viewers,N/A,int,1000000,500000.0,1500000.0,uniform,ZEE PDF Chapter 6 Page 112,Initial participating viewer pool starts at 1.0M users.,nominal,Used directly to scale cohort populations: population = initial_viewers * share.,Ecosystem dynamics,OAT,False,True,True,
M3,adoption_profile,N/A,"typing.Literal['front_loaded', 'linear', 'back_loaded', 'custom_piecewise']",linear,N/A,N/A,categorical,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M3,creator_population,N/A,int,5000,2500.0,7500.0,uniform,ZEE PDF Chapter 6 Page 116,"Registered creator pool populated at 5,000.",nominal,Sets the size of the creator cohort.,Ecosystem dynamics,OAT,False,True,True,
M3,validator_population,N/A,int,100,50.0,150.0,uniform,ZEE PDF Chapter 6 Page 117,Registered validator pool set at 100.,nominal,Sets the size of the validator cohort.,Ecosystem dynamics,OAT,False,True,True,
M3,creator_sell_propensity,N/A,float,0.5,0.25,0.75,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,validator_sell_propensity,N/A,float,0.2,0.1,0.30000000000000004,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,user_sell_ratio,N/A,float,0.8,0.4,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,cohort_population_shares,passive_viewers,"typing.Dict[str, float]",0.55,0.275,0.8250000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M3,cohort_population_shares,active_viewers,"typing.Dict[str, float]",0.3,0.15,0.44999999999999996,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M3,cohort_population_shares,power_users,"typing.Dict[str, float]",0.1,0.05,0.15000000000000002,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
